date,sentiment
2016-11-21 14:17:49,0.875
2016-11-19 09:42:49,0
2016-11-19 09:40:31,0.5
2016-11-19 09:38:05,-0.375
2016-11-19 09:34:49,0
2016-11-19 09:33:56,0
2016-11-19 09:31:43,-0.25
2016-11-19 09:27:19,0.375
2016-11-18 23:21:54,-0.25
2016-11-18 17:51:35,-0.75
2016-11-18 17:48:50,0.25
2016-11-18 17:47:25,0
2016-11-18 07:41:54,0.125
2016-11-17 21:51:05,0.75
2016-11-17 19:10:40,0
2016-11-17 05:22:37,0
2016-11-17 00:40:11,0.75
2016-11-16 20:22:50,0.75
2016-11-16 20:20:33,-0.5
2016-11-16 20:07:44,-1.5
2016-11-16 18:07:49,0
2016-11-16 13:53:19,-0.75
2016-11-16 06:03:52,0.25
2016-11-16 06:02:13,-0.375
2016-11-15 03:42:08,0
2016-11-15 03:19:24,0.5
2016-11-10 18:56:14,0.375
2016-11-10 00:22:18,0
2016-11-08 22:01:10,0
2016-11-08 14:57:23,0.25
2016-11-07 09:58:00,0.25
2016-11-06 21:37:58,0
2016-11-05 18:12:55,0.25
2016-11-05 16:34:21,-0.25
2016-11-05 05:12:21,-0.25
2016-11-05 05:11:12,0
2016-11-05 03:55:11,1.25
2016-11-05 02:23:26,0
2016-11-05 00:30:22,0
2016-11-04 23:15:45,0
2016-11-04 22:41:58,0.375
2016-11-04 22:39:40,0
2016-11-04 17:04:14,0
2016-11-04 16:45:00,-0.25
2016-11-04 16:44:06,-0.25
2016-11-04 16:42:29,-0.875
2016-11-04 16:41:26,0
2016-11-04 16:40:16,0
2016-11-04 16:36:32,0
2016-11-04 16:34:44,0
2016-11-04 16:34:10,0
2016-11-04 16:33:41,1.25
2016-11-04 16:30:13,-0.125
2016-11-04 16:20:17,0
2016-11-04 16:19:15,0
2016-11-04 16:15:43,0
2016-11-04 16:14:26,-0.75
2016-11-04 16:12:40,0
2016-11-04 15:10:29,0.875
2016-11-04 15:05:22,1.25
2016-11-04 14:55:50,0
2016-11-04 14:53:58,0.25
2016-11-04 14:37:58,0
2016-11-04 14:35:19,0.375
2016-11-03 16:55:01,0.625
2016-11-03 16:47:35,0
2016-11-03 15:36:56,0.875
2016-11-03 15:31:38,0.25
2016-11-02 07:05:32,0
2016-11-02 07:00:30,0
2016-10-29 04:25:47,0
2016-10-29 04:24:24,0
2016-10-29 04:15:23,0.25
2016-10-29 04:13:14,0
2016-10-29 04:11:48,-0.75
2016-10-29 03:56:06,0
2016-10-29 03:21:43,0.875
2016-10-29 03:13:18,0.25
2016-10-29 02:46:51,-0.375
2016-10-29 02:46:43,0
2016-10-29 01:34:41,0
2016-10-29 01:33:07,0
2016-10-29 00:36:55,0
2016-10-27 23:37:44,0
2016-10-27 23:32:26,0.625
2016-10-27 23:14:36,0
2016-10-27 21:40:27,0.75
2016-10-27 17:58:57,0.5
2016-10-26 22:49:13,-0.625
2016-10-26 21:24:11,0.625
2016-10-26 21:18:07,0
2016-10-26 16:51:23,0.625
2016-10-24 02:03:32,0
2016-10-23 19:05:33,-0.625
2016-10-23 17:37:37,0
2016-10-22 18:51:38,0
2016-10-21 15:29:59,0
2016-10-21 06:46:01,0
2016-10-20 09:50:40,0.375
2016-10-20 08:46:10,0
2016-10-20 08:44:03,0.5
2016-10-20 08:35:07,0
2016-10-20 08:34:42,0.125
2016-10-20 08:30:02,-0.5
2016-10-20 08:27:24,0
2016-10-20 08:27:05,0.5
2016-10-20 08:23:18,0.375
2016-10-20 07:41:13,-0.375
2016-10-20 07:38:59,0.875
2016-10-20 07:24:11,0
2016-10-20 05:22:28,0
2016-10-20 04:08:31,0
2016-10-20 00:49:34,0.5
2016-10-20 00:41:25,0.25
2016-10-20 00:39:13,0.25
2016-10-19 19:24:09,0
2016-10-19 18:29:13,0.25
2016-10-19 17:29:48,0
2016-10-19 16:44:48,-0.75
2016-10-19 08:47:24,0
2016-10-19 06:20:09,0
2016-10-18 21:34:27,0.375
2016-10-17 04:45:42,0
2016-10-16 23:27:04,0
2016-10-16 22:00:41,0
2016-10-16 18:28:47,0
2016-10-13 20:20:42,-0.25
2016-10-13 16:17:29,0.5
2016-10-13 16:12:09,1.125
2016-10-10 18:36:49,0
2016-10-10 16:28:14,0.375
2016-10-10 15:42:23,-0.625
2016-10-10 15:00:46,-0.25
2016-10-10 14:58:10,0
2016-10-10 14:32:37,0
2016-10-10 14:23:43,-0.25
2016-10-10 14:12:16,0
2016-10-10 12:22:40,0.375
2016-10-09 22:14:56,0.75
2016-10-09 21:09:42,0.375
